internalField   nonuniform List<vector>
1280
(
(1.49468e+06 -6.10527e+06 6615.36)
(1.46794e+06 -6.0596e+06 15128.6)
(1.43431e+06 -6.02809e+06 11883)
(1.38749e+06 -6.18093e+06 -29693.7)
(1.46099e+06 -6.16429e+06 -13306.1)
(1.49174e+06 -6.13563e+06 -2094.86)
(1.50404e+06 -6.09821e+06 8899.5)
(1.46816e+06 -6.05103e+06 18416.4)
(1.43367e+06 -6.01979e+06 12454.6)
(1.40935e+06 -6.17832e+06 -28350)
(1.47913e+06 -6.16105e+06 -11773.1)
(1.50422e+06 -6.13119e+06 -666.082)
(1.51239e+06 -6.09194e+06 9718.26)
(1.46775e+06 -6.04329e+06 19298.9)
(1.43529e+06 -6.01229e+06 10906.4)
(1.43077e+06 -6.17584e+06 -26901.7)
(1.49667e+06 -6.15763e+06 -10099.5)
(1.51609e+06 -6.12616e+06 858.772)
(1.5199e+06 -6.08473e+06 11144.1)
(1.46618e+06 -6.03503e+06 21644.6)
(1.43774e+06 -6.00438e+06 9610.22)
(1.52609e+06 -6.07779e+06 12301.7)
(1.46389e+06 -6.02684e+06 23436.3)
(1.44234e+06 -5.99604e+06 5680.21)
(1.25715e+06 -6.40498e+06 -158953)
(1.38622e+06 -6.39686e+06 -108531)
(1.43603e+06 -6.37731e+06 -59873.8)
(1.44948e+06 -6.30638e+06 -9262.52)
(1.41138e+06 -6.13718e+06 27730.6)
(1.37825e+06 -5.96922e+06 25458.9)
(1.30596e+06 -6.40488e+06 -150834)
(1.42012e+06 -6.39626e+06 -97644.2)
(1.45557e+06 -6.36574e+06 -47587.6)
(1.46019e+06 -6.26731e+06 4564.59)
(1.4077e+06 -6.07786e+06 33612.9)
(1.38109e+06 -5.93948e+06 23673.1)
(1.33053e+06 -6.4051e+06 -145831)
(1.44082e+06 -6.39577e+06 -90912.8)
(1.4664e+06 -6.3554e+06 -41563.6)
(1.46425e+06 -6.24308e+06 11165.9)
(1.4051e+06 -6.04939e+06 36268)
(1.38775e+06 -5.92732e+06 20848.6)
(1.36366e+06 -6.40573e+06 -138724)
(1.4618e+06 -6.39565e+06 -82515.3)
(1.47745e+06 -6.33811e+06 -32184.8)
(1.46847e+06 -6.20634e+06 20794.3)
(1.4024e+06 -6.01166e+06 39628.6)
(1.39627e+06 -5.91083e+06 15470.3)
(1.40154e+06 -5.98282e+06 41839)
(1.40742e+06 -5.89934e+06 7956.5)
(1.01422e+06 -6.40503e+06 -273423)
(1.09996e+06 -6.35161e+06 -189020)
(1.15507e+06 -6.21498e+06 -91495.1)
(1.19559e+06 -6.08136e+06 -9765.65)
(1.22048e+06 -6.02658e+06 21744.2)
(1.27819e+06 -5.86666e+06 1510.92)
(1.05727e+06 -6.40343e+06 -259982)
(1.1404e+06 -6.33109e+06 -165064)
(1.18737e+06 -6.17708e+06 -67216.3)
(1.2206e+06 -6.05582e+06 3462.92)
(1.24713e+06 -6.00299e+06 24439)
(1.29959e+06 -5.83329e+06 -5446.91)
(1.07883e+06 -6.40131e+06 -251617)
(1.15825e+06 -6.31678e+06 -152260)
(1.20101e+06 -6.15674e+06 -56225)
(1.23293e+06 -6.04275e+06 10079.2)
(1.26165e+06 -5.99142e+06 27153.8)
(1.3123e+06 -5.81483e+06 -11054.4)
(1.10883e+06 -6.39795e+06 -238860)
(1.18423e+06 -6.29425e+06 -132777)
(1.22076e+06 -6.1276e+06 -40560.4)
(1.2501e+06 -6.02543e+06 17277.7)
(1.28097e+06 -5.97714e+06 29577.1)
(1.32907e+06 -5.78453e+06 -21317.4)
(1.34412e+06 -5.75646e+06 -33007.6)
(809233 -6.34766e+06 -348913)
(865952 -6.27227e+06 -278536)
(934010 -6.15643e+06 -187792)
(1.01011e+06 -6.06225e+06 -115906)
(1.09419e+06 -6.00197e+06 -69700.2)
(1.20163e+06 -5.73123e+06 -89778.5)
(843826 -6.34384e+06 -339976)
(904659 -6.25581e+06 -260925)
(976785 -6.1334e+06 -166103)
(1.05308e+06 -6.04528e+06 -100242)
(1.14329e+06 -5.98322e+06 -60491.8)
(1.23155e+06 -5.67207e+06 -93856.9)
(861130 -6.34017e+06 -334215)
(923738 -6.24509e+06 -250336)
(997968 -6.12072e+06 -154503)
(1.07554e+06 -6.03649e+06 -92736.3)
(1.16877e+06 -5.96878e+06 -56855.5)
(1.24705e+06 -5.63432e+06 -98015.3)
(823169 -6.38465e+06 -389906)
(886293 -6.33428e+06 -325149)
(952312 -6.22857e+06 -234452)
(1.02878e+06 -6.10242e+06 -138876)
(1.10853e+06 -6.02288e+06 -82823.1)
(1.20063e+06 -5.94995e+06 -53266.9)
(1.26724e+06 -5.57622e+06 -104723)
(1.28461e+06 -5.52117e+06 -111865)
(681148 -6.27553e+06 -395271)
(717298 -6.21008e+06 -331370)
(761269 -6.10813e+06 -262345)
